"Aerogear","https://www.jboss.org/aerogear","","","https://issues.jboss.org/browse/AEROGEAR","https://github.com/aerogear","ASL","http://www.apache.org/licenses/LICENSE-2.0"
"APIviz","https://www.jboss.org/apiviz","","","http://jira.jboss.org/jira/browse/APIVIZ","http://anonsvn.jboss.org/repos/apiviz","",""
"Arquillian","https://www.jboss.org/arquillian","https://repository.jboss.org/nexus/index.html#nexus-search;quick~org.jboss.arquillian","http://arquillian.org/guides","https://issues.jboss.org/browse/ARQ","https://github.com/arquillian","ASL","http://www.apache.org/licenses/LICENSE-2.0"
"Blacktie","https://www.jboss.org/blacktie","https://www.jboss.org/blacktie/downloads","https://www.jboss.org/blacktie/documentation","https://jira.jboss.org/jira/secure/BrowseProject.jspa?id=12310690","https://anonsvn.jboss.org/repos/blacktie/","LGPL","http://www.gnu.org/licenses/old-licenses/lgpl-2.1.html"
"BoxGrinder","http://boxgrinder.org","https://www.jboss.org/boxgrinder/downloads","http://boxgrinder.org/tutorials/","http://boxgrinder.org/community/","http://boxgrinder.org/development","LGPL3","http://www.gnu.org/licenses/lgpl.txt"
"buildmagic","https://www.jboss.org/buildmagic","https://www.jboss.org/buildmagic/downloads","","http://www.jboss.org/jira/browse/JBBUILD","http://anonsvn.jboss.org/repos/labs/labs/jbossbuild/buildmagic","",""
"Byteman","https://www.jboss.org/byteman","https://www.jboss.org/byteman/downloads","https://www.jboss.org/byteman/documentation","https://jira.jboss.org/jira/browse/BYTEMAN","http://github.com/bytemanproject/byteman","LGPL","http://www.gnu.org/licenses/old-licenses/lgpl-2.1.html"
"CapeDwarf","https://www.jboss.org/capedwarf","","https://www.jboss.org/capedwarf/docs","https://issues.jboss.org/browse/CAPEDWARF","https://github.com/capedwarf","LGPL","http://www.gnu.org/licenses/old-licenses/lgpl-2.1.html"
"DNA","https://www.jboss.org/dna","https://www.jboss.org/dna/downloads","https://www.jboss.org/dna/docs","https://jira.jboss.org/jira/browse/DNA","http://anonsvn.jboss.org/repos/dna/trunk","",""
"Drools","https://www.jboss.org/drools","https://www.jboss.org/drools/downloads","https://www.jboss.org/drools/documentation","https://www.jboss.org/drools/issue-tracker","https://www.jboss.org/drools/source-code","ASL","http://www.apache.org/licenses/LICENSE-2.0"
"EJB3","https://www.jboss.org/ejb3","https://www.jboss.org/ejb3/downloads","https://www.jboss.org/ejb3/docs","https://jira.jboss.org/jira/browse/EJBTHREE","http://anonsvn.jboss.org/repos/jbossas/projects/ejb3/trunk/","",""
"Embedded Jopr","https://www.jboss.org/embjopr","http://jboss.org/community/wiki/EmbeddedJoprDownloads","http://jboss.org/community/wiki/EmbeddedJopr","https://jira.jboss.org/jira/browse/EMBJOPR","http://anonsvn.jboss.org/repos/embjopr/","LGPL","http://www.gnu.org/licenses/old-licenses/lgpl-2.1.html"
